State	County	Number of Synthetics Reports
VA	CUMBERLAND	2
VA	MECKLENBURG	2
VA	CLARKE	8
VA	WESTMORELAND	5
VA	AMELIA	1
VA	STAFFORD	17
VA	WISE	6
VA	CHARLOTTESVILLE CITY	2
VA	CRAIG	1
VA	NORTHAMPTON	1
VA	NORFOLK CITY	4
VA	DICKENSON	3
VA	BOTETOURT	5
VA	PRINCE WILLIAM	29
VA	HANOVER	8
VA	HENRICO	48
VA	FREDERICK	19
VA	ALBEMARLE	6
VA	WINCHESTER CITY	4
VA	LOUISA	5
VA	CHESAPEAKE CITY	4
VA	CARROLL	4
VA	MONTGOMERY	4
VA	RICHMOND	4
VA	KING GEORGE	2
VA	WILLIAMSBURG CITY	1
VA	ISLE OF WIGHT	4
VA	BLAND	1
VA	HALIFAX	3
VA	JAMES CITY	4
VA	ARLINGTON	5
VA	BUCHANAN	8
VA	WASHINGTON	4
VA	RADFORD	2
VA	HENRY	4
VA	CAMPBELL	3
VA	FRANKLIN CITY	2
VA	WARREN	31
VA	LOUDOUN	16
VA	AMHERST	9
VA	PRINCE GEORGE	1
VA	AUGUSTA	10
VA	BUCKINGHAM	3
VA	BRUNSWICK	2
VA	KING WILLIAM	1
VA	PRINCE EDWARD	2
VA	HOPEWELL CITY	1
VA	FLOYD	2
VA	ORANGE	3
VA	APPOMATTOX	2
VA	CHESTERFIELD	21
VA	FAIRFAX	37
VA	PATRICK	5
VA	SPOTSYLVANIA	16
VA	PULASKI	6
VA	SUFFOLK CITY	2
VA	PITTSYLVANIA	3
VA	YORK	7
VA	ALLEGHANY	6
VA	SMYTH	5
VA	POWHATAN	1
VA	LEE	3
VA	ROCKBRIDGE	6
VA	GILES	4
VA	ROCKINGHAM	6
VA	SCOTT	2
VA	FRANKLIN	19
VA	LUNENBURG	1
VA	CULPEPER	11
VA	PAGE	14
VA	GLOUCESTER	1
VA	ROANOKE	9
VA	BEDFORD	7
VA	VIRGINIA BEACH CITY	3
VA	SHENANDOAH	13
VA	MATHEWS	1
VA	WYTHE	13
VA	GOOCHLAND	2
VA	NEWPORT NEWS CITY	3
VA	FLUVANNA	4
VA	GRAYSON	1
VA	RUSSELL	5
VA	ACCOMACK	2
VA	NEW KENT	4
VA	TAZEWELL	13
VA	PORTSMOUTH CITY	1
VA	MADISON	3
VA	SURRY	1
VA	FAUQUIER	9
VA	CAROLINE	3
KY	PERRY	17
KY	BELL	8
KY	BRACKEN	1
KY	MCCREARY	3
KY	OWEN	1
KY	LINCOLN	1
KY	GARRARD	2
KY	JEFFERSON	62
